Precinct,trump,clinton,castle,johnson,stein,moorehead,roque,write-in,badBoxes,blank,fuzzy,multiple,total
Albion,0,1,0,0,0,0,0,-1,1,6,0,0,1141
Belleville,-94,-156,-2,-9,-7,0,0,-6,17,4,0,4,1339
Berry,0,1,0,0,0,0,0,-3,1,2,0,0,761
Black,2,-1,0,0,0,0,0,4,1,14,0,1,1119
Blooming,1,-1,0,0,0,0,0,0,1,1,0,0,1027
Blue,0,3,0,0,0,0,0,0,3,15,0,0,1130
Bristol,0,1,0,0,0,0,0,0,1,18,0,0,2429
Brooklyn,-87,-142,-2,-14,-4,0,0,-2,1,4,0,0,782
Burke,0,2,0,0,0,0,0,0,2,15,0,0,1958
Cambridge,-12,-29,-1,-1,-1,0,0,0,0,7,1,2,923
Christiana,0,0,0,0,0,0,0,0,0,3,0,0,727
Cottage,0,8,0,0,0,0,0,0,4,44,1,3,6154
Cross,-2,0,0,0,0,0,0,0,1,15,1,2,3180
Dane,1,-1,0,0,0,0,0,0,2,11,0,0,1101
DeForest,4,16,1,1,1,0,0,0,10,34,6,9,5043
Deerfield,-4,0,0,-1,0,0,0,0,1,16,0,1,2236
Dunkirk,1,0,0,0,0,0,0,0,0,12,0,0,1229
Dunn,5,10,0,0,2,0,0,0,14,21,1,3,3277
Fitchburg,12,44,1,0,2,0,0,1,13,115,7,18,14007
Madison,2509,13823,38,413,310,11,6,209,466,891,75,111,139947
Maple,0,1,1,0,0,0,0,0,1,8,0,0,1060
Marshall,1,3,0,0,0,0,0,0,1,11,1,2,1765
Mazomanie,0,0,0,0,0,0,0,0,1,14,0,1,1596
McFarland,9,18,0,1,1,0,0,1,22,42,2,5,4990
Medina,0,1,0,0,0,0,0,0,1,4,0,1,760
Middleton,12,21,0,1,1,0,0,2,6,148,11,16,16150
Monona,-1,30,0,1,0,0,0,0,6,38,5,1,5521
Montrose,2,1,0,0,0,0,0,0,1,3,1,2,711
Mount,0,9,0,0,0,-1,0,0,2,33,2,5,4145
Oregon,6,14,0,1,0,0,0,0,11,84,2,8,8158
Perry,0,0,0,0,0,0,0,0,0,1,1,0,492
Pleasant,1,2,0,0,0,0,0,0,0,12,0,1,2109
Primrose,0,0,0,0,0,0,0,0,0,3,0,0,451
Rockdale,0,1,0,0,0,0,0,0,0,1,1,0,106
Roxbury,2,-2,0,0,0,0,0,0,2,6,0,0,1094
Rutland,2,5,0,1,0,0,0,0,6,8,1,4,1301
Shorewood,0,3,0,0,0,0,0,0,0,12,0,2,1471
Springdale,5,3,0,0,0,0,0,0,8,9,0,0,1245
Springfield,3,0,0,0,0,0,0,0,1,13,0,1,1657
Stoughton,3,7,0,0,0,0,0,1,1,49,2,5,7159
Sun,21,61,-2,4,1,0,1,1,60,171,8,16,18224
