,trump,clinton,castle,johnson,stein,moorehead,roque,write-in,,blank,fuzzy,multiple,tot
"Madison City Wards 1-2, 123",1,14,0,0,0,0,0,0,,14,1,0,2542
Madison City Wards 10,0,11,0,0,0,0,0,0,,13,1,1,1463
Madison City Wards 100,10,72,0,3,0,0,0,0,,8,0,3,1746
"Madison City Wards 101-102, 119 &121",1,9,0,0,0,0,0,0,,10,4,0,1619
Madison City Wards 103 & 114-116,0,0,0,0,0,0,0,0,,2,0,1,463
"Madison City Wards 105 & 107, 127",3,2,0,0,0,0,0,0,,30,0,4,3220
Madison City Wards 106 & 125,0,4,0,0,0,0,0,1,,18,0,0,2122
Madison City Wards 108,0,6,0,0,1,0,0,1,,7,1,2,1553
Madison City Wards 109,3,6,0,0,0,0,0,0,,24,0,0,1754
Madison City Wards 11 &17,0,4,0,0,0,0,0,1,,11,2,0,1486
Madison City Wards 110 & 120,7,15,0,0,0,0,0,1,,19,1,0,1275
"Madison City Wards 111 & 122, 124, 138",1,2,0,0,0,0,0,0,,21,1,1,2067
Madison City Wards 12,2,6,0,0,0,0,0,0,,13,2,0,1682
Madison City Wards 13-15,2,1,0,0,0,0,0,0,,14,0,1,1955
Madison City Wards 16,-2,11,0,0,0,0,0,0,,12,3,4,2278
Madison City Wards 18 & 21,1,4,0,0,0,0,0,0,,14,0,5,1630
Madison City Wards 19-20,0,3,0,0,0,0,0,1,,10,0,3,872
"Madison City Wards 22, 136",0,5,0,0,0,0,0,0,,13,1,2,1325
Madison City Wards 23,-1,2,0,0,0,0,0,0,,5,0,1,609
Madison City Wards 24,2,0,0,0,0,0,0,0,,7,1,0,709
Madison City Wards 25,6,29,0,0,2,1,0,0,,11,1,1,1827
"Madison City Wards 26, 126",0,1,0,0,0,0,0,0,,6,0,1,1023
Madison City Wards 27-28,1,5,0,0,1,0,0,1,,8,2,1,1122
Madison City Wards 29,-1,19,0,0,1,0,0,0,,11,0,1,2303
"Madison City Wards 3-4, 7",3,3,0,0,1,0,0,0,,21,1,2,2362
Madison City Wards 30,0,3,0,0,0,0,0,0,,7,0,0,913
Madison City Wards 31,0,3,0,0,1,0,0,0,,7,0,0,1018
Madison City Wards 40,0,9,0,1,0,0,0,0,,8,6,1,2307
Madison City Wards 41,0,4,0,0,1,0,0,0,,7,0,0,2409
Madison City Wards 42,4,132,0,1,4,0,0,6,,6,2,2,2468
Madison City Wards 43 & 52,0,0,0,0,0,0,0,0,,6,0,1,992
Madison City Wards 44,1,3,0,0,0,0,0,0,,8,1,1,1701
Madison City Wards 45,1,4,1,0,-1,0,0,0,,5,0,0,2780
Madison City Wards 46,0,11,0,3,0,0,0,0,,19,1,1,2247
Madison City Wards 47-48,0,15,0,-1,0,0,0,0,,11,3,0,2756
Madison City Wards 49,1,-1,0,0,0,0,0,0,,8,0,1,2571
Madison City Wards 5-6,0,3,0,0,0,0,0,0,,20,1,2,2617
Madison City Wards 50,0,0,0,0,0,0,0,0,,8,0,0,2410
Madison City Wards 51,1,8,0,-1,0,0,0,0,,6,2,4,1458
Madison City Wards 53,3,29,0,0,1,0,0,0,,16,0,2,2998
Madison City Wards 54,6,15,0,1,0,0,0,0,,2,0,0,701
Madison City Wards 55,0,-1,0,0,0,0,0,0,,15,0,2,3195
Madison City Wards 56,0,1,0,1,0,0,0,0,,4,0,1,2098
Madison City Wards 57,0,-1,0,0,0,0,0,0,,5,0,0,1048
Madison City Wards 58,0,0,0,0,0,0,0,0,,3,0,0,1032
Madison City Wards 59,0,0,0,0,0,0,0,0,,4,0,0,1337
Madison City Wards 60,0,1,0,0,1,0,0,0,,4,0,0,538
Madison City Wards 61,1,-3,0,-2,2,0,0,0,,7,0,0,2237
Madison City Wards 62,0,0,0,0,0,0,0,0,,4,0,0,835
Madison City Wards 63,0,1,0,0,1,0,0,0,,8,0,1,1790
Madison City Wards 64 & 82,0,5,0,0,0,0,0,0,,17,0,2,2730
Madison City Wards 65,0,3,0,0,0,0,0,0,,8,2,0,2570
Madison City Wards 66,0,3,0,0,0,0,0,0,,13,0,0,2429
Madison City Wards 67,0,1,0,0,0,0,0,0,,15,1,0,1093
Madison City Wards 68,0,0,0,0,0,0,0,0,,1,0,0,1068
Madison City Wards 69,1,17,0,0,0,0,0,0,,8,2,1,1776
Madison City Wards 70 & 113,1,5,0,0,0,0,0,0,,10,1,0,1113
Madison City Wards 71,0,2,0,0,0,0,0,1,,9,0,6,1472
Madison City Wards 72,0,8,0,0,0,0,0,0,,4,2,6,586
Madison City Wards 79,0,10,0,0,0,0,0,0,,32,2,1,2601
"Madison City Wards 8, 129, 131, 134",2,9,0,0,1,0,0,0,,8,1,0,1682
Madison City Wards 80-81,-2,9,0,0,0,0,0,0,,11,2,2,1778
Madison City Wards 83,0,2,0,0,0,0,0,0,,16,0,1,1450
Madison City Wards 84,-1,3,0,0,0,0,0,0,,15,1,5,1751
Madison City Wards 85,0,1,0,0,0,0,0,1,,13,1,0,1620
Madison City Wards 86,1,3,0,0,0,0,0,0,,13,0,0,1948
Madison City Wards 87,3,22,0,2,0,0,0,1,,21,0,0,2014
Madison City Wards 88,1,2,0,0,0,0,0,0,,16,1,1,1881
Madison City Wards 89,0,1,0,-1,-1,0,0,0,,17,2,0,1918
"Madison City Wards 9, 128, 130, 132, 133",1,4,0,0,0,0,0,1,,19,3,2,2152
"Madison City Wards 90 & 104, 117",3,0,0,0,0,0,0,0,,14,0,3,2361
Madison City Wards 91,0,-1,0,0,0,0,0,0,,10,0,0,1345
Madison City Wards 92 & 95,4,8,0,1,1,0,0,0,,16,12,5,2882
Madison City Wards 93-94,0,1,1,0,0,0,0,0,,12,0,0,1027
"Madison City Wards 96, 99",2,7,0,0,0,0,0,0,,14,1,3,2219
Madison City Wards 97,0,1,0,0,0,0,0,0,,13,0,0,2091
Madison City Wards 98,0,4,0,0,0,0,0,0,,15,1,3,2454
Madison Town Wards 1,0,1,0,0,0,0,0,0,,1,0,0,371
Madison Town Wards 2-9,0,13,0,0,0,0,0,0,,10,2,17,2102
